pop	sample	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
lb	lb_s_106	16132648	13221277	0.820	6470179	1007134	1077293	461446	0	365498
lb	lb_s_107	13219325	10485418	0.793	5023952	940175	1044498	393209	0	356025
lb	lb_s_108	15007173	12386669	0.825	6123704	963520	831359	516472	0	309153
lb	lb_s_109	13117581	11040186	0.842	5511111	776848	694631	344249	0	261667
lb	lb_s_110	20716794	16846348	0.813	8030744	1295514	1437209	786421	0	351302
lb	lb_s_111	22778702	19274209	0.846	9557069	1278676	1185150	577587	0	463080
lb	lb_s_112	30876308	25260250	0.818	12142583	1924586	2192028	914600	0	584844
lb	lb_s_113	17798400	14896458	0.837	7382675	1058110	1006284	480792	0	356756
lb	lb_s_114	14699065	12319514	0.838	6139258	935098	789793	351851	0	302809
lb	lb_s_115	18397397	15257187	0.829	7626951	1166655	1063921	517985	0	391649
lb	lb_s_116	17911755	14776911	0.825	7239392	1087787	1166571	504647	0	375839
lb	lb_s_117	23606870	20050262	0.849	9991192	1357790	1109162	679562	0	410094
lb	lb_s_118	16573905	13723200	0.828	6784842	1021899	965335	515442	0	348029
lb	lb_s_12	23471186	19791511	0.843	9835944	1577159	1080111	591037	0	431368
lb	lb_s_120	21007295	17497916	0.833	8619593	1301834	1244272	485236	0	478037
lb	lb_s_122	17299419	14530899	0.840	7163435	1014074	998117	400842	0	355487
lb	lb_s_123	27944420	22958445	0.822	10991436	1574693	1875286	952346	0	583650
lb	lb_s_124	16719778	13976314	0.836	6820489	946988	933802	576664	0	286010
lb	lb_s_125	16747128	13050864	0.779	6508989	1155084	1467258	403520	0	670402
lb	lb_s_126	7691324	6242894	0.812	3016301	473686	584010	200116	0	190618
lb	lb_s_127	8143689	6680663	0.820	3240224	507835	598471	201043	0	155677
lb	lb_s_128	16032178	12843320	0.801	6286871	1025547	1311139	507102	0	345070
lb	lb_s_129	18094260	14262375	0.788	7108654	1164455	1531436	438092	0	697902
lb	lb_s_13	13206974	10778634	0.816	5306054	851160	898209	388141	0	290830
lb	lb_s_130	18065354	15366251	0.851	7689618	1087551	856053	435055	0	320444
lb	lb_s_131	27784121	23296488	0.838	11461078	1653454	1544151	806727	0	483301
lb	lb_s_132	18104111	13924308	0.769	6879963	1292509	1248625	1338886	0	299783
lb	lb_s_134	19864391	16709414	0.841	8309241	1310247	954114	482657	0	407959
lb	lb_s_135	14641364	11816715	0.807	5836619	934018	1084770	412897	0	392964
lb	lb_s_136	18103434	15486545	0.855	7751133	997400	865327	437048	0	317114
lb	lb_s_137	12575669	8842066	0.703	4290186	1405886	1060186	717836	0	549695
lb	lb_s_138	13667983	10971698	0.803	5399445	844751	1048034	382827	0	420673
lb	lb_s_139	17153905	12760282	0.744	6320941	1704872	1196882	1212256	0	279613
lb	lb_s_14	18232092	15303796	0.839	7520809	962641	1076478	571053	0	318124
lb	lb_s_140	22659397	18563860	0.819	8897095	1351661	1488947	754548	0	500381
lb	lb_s_141	13572179	11222547	0.827	5469973	836313	909612	342452	0	261255
lb	lb_s_142	24427664	20375661	0.834	10192046	1463888	1430166	515503	0	642446
lb	lb_s_144	15509205	11537538	0.744	5724343	1243517	1220822	1255981	0	251347
lb	lb_s_145	13409444	11260152	0.840	5613270	792915	755514	315237	0	285626
lb	lb_s_146	13565615	11462432	0.845	5737799	817660	678445	353113	0	253965
lb	lb_s_147	18125317	15307319	0.845	7645236	999919	974221	472351	0	371507
lb	lb_s_148	16450333	12882747	0.783	6428503	1041680	1453013	392294	0	680599
lb	lb_s_149	20662028	17569098	0.850	8765632	1199573	1008484	505101	0	379772
lb	lb_s_15	16742985	13588958	0.812	6531116	1042923	1237739	503850	0	369515
lb	lb_s_150	22325916	18998572	0.851	9462802	1268453	1043996	616651	0	398244
lb	lb_s_151	15739318	12420920	0.789	6173522	1077211	1313622	398901	0	528664
lb	lb_s_152	19587055	15915569	0.813	7690724	1266906	1459981	539506	0	405093
lb	lb_s_153	12872469	10692512	0.831	5268615	826999	763101	309140	0	280717
lb	lb_s_154	16329414	13399589	0.821	6550232	998922	1160403	466008	0	304492
lb	lb_s_155	16074922	13280193	0.826	6565065	984436	932183	531040	0	347070
lb	lb_s_156	68463649	56684743	0.828	27432701	4158854	4682268	1893039	0	1044745
lb	lb_s_157	14328217	11841605	0.826	5917174	928522	857022	303963	0	397105
lb	lb_s_158	48514454	41357472	0.852	20550217	3024965	2082609	1314968	0	734440
lb	lb_s_159	15766488	12905423	0.819	6360759	1004616	1077757	423710	0	354982
lb	lb_s_16	12836372	10881167	0.848	5377355	715055	679690	346086	0	214374
lb	lb_s_160	12866789	10961170	0.852	5471531	738301	601387	352550	0	213381
lb	lb_s_161	14924699	12249036	0.821	6123221	991705	921368	321375	0	441215
lb	lb_s_162	23259854	19657443	0.845	9869737	1378081	1199401	537439	0	487490
lb	lb_s_163	11379339	9309582	0.818	4498678	707493	826513	307796	0	227955
lb	lb_s_164	21049199	17535454	0.833	8662347	1226216	1173003	676871	0	437655
lb	lb_s_166	16551552	13531194	0.818	6634156	1049800	1188027	440351	0	342180
lb	lb_s_167	13986905	11517546	0.823	5697318	899778	819181	447745	0	302655
lb	lb_s_169	28237496	23133814	0.819	11169282	1734179	1980132	791567	0	597804
lb	lb_s_17	41549801	35423700	0.853	17646058	2643424	1806510	1035510	0	640657
lb	lb_s_170	14838497	11951345	0.805	5891495	958404	1107650	423487	0	397611
lb	lb_s_171	13763862	10828704	0.787	5414211	886729	1183428	311391	0	553610
lb	lb_s_172	14099162	11352724	0.805	5554449	859363	1130846	461003	0	295226
lb	lb_s_173	16160050	13077724	0.809	6402678	945668	1300886	506762	0	329010
lb	lb_s_174	19888259	16322709	0.821	7984481	1233556	1299460	667275	0	365259
lb	lb_s_176	15786388	13103190	0.830	6506385	989652	897170	372406	0	423970
lb	lb_s_177	13600074	8678088	0.638	4525006	1032623	2125113	404536	0	1359714
lb	lb_s_178	23822668	20054097	0.842	9997767	1462108	1238687	608300	0	459476
lb	lb_s_179	30629437	26094757	0.852	12986818	1964197	1324343	749023	0	497117
lb	lb_s_18	15778729	12949862	0.821	6345421	961925	1114211	443282	0	309449
