sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns	n_unpaired_reads	n_pcr_dupl_pairs	pcr_dupl_rate
bb_f_287	422544	4699078	11.121	11.724	556852	875554	0.157
bb_f_288	410937	5438020	13.233	13.992	497945	1195635	0.180
bb_f_289	433549	1586617	3.660	3.837	282920	301050	0.159
bb_f_29	354414	3924884	11.074	11.504	363885	915689	0.189
bb_f_290	312504	2701177	8.644	8.925	199546	752154	0.218
bb_f_291	368737	6553856	17.774	18.694	848869	1974380	0.232
bb_f_293	447591	10568430	23.612	25.362	1259932	4032366	0.276
bb_f_294	461010	2139742	4.641	4.891	181021	339323	0.137
bb_f_295	362662	1532253	4.225	4.351	125054	246224	0.138
bb_f_296	493182	4007881	8.127	8.681	614907	677622	0.145
bb_f_297	409566	2245073	5.482	5.762	213656	487138	0.178
bb_f_298	412183	5101437	12.377	13.041	672282	1282228	0.201
bb_f_299	475459	2562872	5.390	5.694	247921	648902	0.202
bb_f_3	480590	6990297	14.545	15.539	718711	1464267	0.173
bb_f_30	502537	6997013	13.923	15.059	1293079	1769091	0.202
bb_f_300	410008	3786911	9.236	9.666	449236	932031	0.198
bb_f_301	389407	7190827	18.466	19.613	730651	2183426	0.233
bb_f_302	497642	3970222	7.978	8.537	568168	824979	0.172
bb_f_303	488050	4188846	8.583	9.171	686325	750990	0.152
bb_f_304	486617	4133230	8.494	9.038	444569	799501	0.162
bb_f_305	475642	3617889	7.606	8.132	510994	796800	0.180
bb_f_307	361289	4356403	12.058	12.554	450411	1036766	0.192
bb_f_308	35768	38656	1.081	1.082	3036	1903	0.047
bb_f_309	352698	6205780	17.595	18.607	710840	2268393	0.268
bb_f_31	391921	5578799	14.234	14.940	619686	1556264	0.218
bb_f_310	402777	2522732	6.263	6.507	255510	570015	0.184
bb_f_311	225543	783685	3.475	3.762	923832	6329710	0.890
bb_f_312	407568	2776809	6.813	7.105	311913	560540	0.168
bb_f_313	445328	1988929	4.466	4.750	387055	310298	0.135
bb_f_314	403220	5941162	14.734	15.543	765664	2078634	0.259
bb_f_315	17662	18115	1.026	1.027	7220	869	0.046
bb_f_316	482057	3391221	7.035	7.491	818942	4058190	0.545
bb_f_317	492922	5092429	10.331	11.048	455963	1116597	0.180
bb_f_318	427138	5109081	11.961	12.627	584642	1027838	0.167
bb_f_319	501079	7288810	14.546	15.466	1207626	1938472	0.210
bb_f_32	337256	7657440	22.705	23.946	685129	2784008	0.267
bb_f_320	463494	2256473	4.868	5.150	569241	2598532	0.535
bb_f_33	493453	5267865	10.676	11.408	567837	1115556	0.175
bb_f_35	497193	8196355	16.485	17.771	933224	2022070	0.198
bb_f_36	522319	9169082	17.555	19.176	1700166	2692262	0.227
bb_f_37	357685	5754456	16.088	16.826	589016	1606719	0.218
bb_f_38	338925	4010617	11.833	12.302	425595	902752	0.184
bb_f_39	425510	5300986	12.458	13.133	609996	1242053	0.190
bb_f_4	484330	5613302	11.590	12.465	777501	2121705	0.274
bb_f_40	521629	15170434	29.083	31.366	2520325	4846258	0.242
bb_f_41	406525	1881167	4.627	4.838	546345	3113724	0.623
bb_f_42	506694	5885297	11.615	12.775	870744	1787207	0.233
bb_f_43	430893	6585415	15.283	16.190	607926	1618356	0.197
bb_f_44	487168	6102275	12.526	13.465	920736	1908880	0.238
