sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns	n_unpaired_read	n_pcr_dupl_pairs	pcr_dupl_rate	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
cl_f_175	469692	2162976	4.605	4.804	670917	3749636	0.634	16705793	13118406	0.785	6534877	1141878	1383986	419018	0	642505
cl_f_177	403896	6479015	16.041	16.673	597895	1556572	0.194	20267123	17175296	0.847	8541814	1164602	1001556	567688	0	357981
cl_f_187	469702	2385792	5.079	5.294	726806	4105323	0.632	18385865	14393521	0.783	7175600	1316172	1533776	438975	0	703421
cl_f_192	486568	4776728	9.817	10.316	506016	936967	0.164	14985425	12352009	0.824	6132298	1045899	836554	367962	0	383001
cl_f_197	482273	4740832	9.83	10.321	672627	1667510	0.26	17189557	13956969	0.812	6876000	1106951	1209030	489058	0	427549
cl_f_20	469075	3364821	7.173	7.491	640469	2383838	0.415	15770940	12589704	0.798	6200576	1122741	1169873	499192	0	389430
cl_f_21	444206	2702423	6.084	6.292	893732	5173433	0.657	22240086	17489080	0.786	8719492	1492017	1861248	577145	0	820596
cl_f_214	457553	2139445	4.676	4.848	274757	631797	0.228	7412534	6010053	0.811	2964054	501739	515304	218314	0	167124
cl_f_226	441190	6818934	15.456	16.138	1245539	1471709	0.178	22175978	18228459	0.822	8692277	1294689	1474279	815081	0	363470
cl_f_234	484584	4045426	8.348	8.77	538775	1216072	0.231	13944855	11425350	0.819	5625077	876778	951286	383222	0	308219
cl_f_236	470427	2604763	5.537	5.746	258448	550286	0.174	8151904	6796734	0.834	3383237	537991	431174	201461	0	184544
cl_f_25	459526	2116600	4.606	4.782	695530	3854713	0.646	17108561	13315892	0.778	6649049	1191115	1473008	446445	0	682101
cl_f_260	40404	43468	1.076	1.077	5732	1110	0.025	127292	98090	0.771	47780	7344	8483	11527	0	1848
cl_f_265	482642	3806459	7.887	8.251	419372	887345	0.189	12299231	10165339	0.827	5052163	834725	689395	278711	0	331061
